Index,Chinese gloss,English gloss,Standard Zhuang,Donglan Datong,Dahua Yantan,Dahua Liushui,Modern Thai,Modern Thai Phonetics,Swadesh List,动物,植物,人称代词,亲属,动词,形容词,数字,量词,疑问代词,身体部位
1,太阳,sun*,,,tɐŋ⁴² ŋɔn²³¹,cjaŋ⁴² ŋɔn²³¹,ดวงอาทิตย์,duangothit,True,,,,,,,,,,
2,月亮,moon*,,,ɹɔŋ³¹ ʔdɯən⁴²,ɹɔɜŋ²⁴ ʔdɯən⁴²,ดวงจันทร์,duangchan,True,,,,,,,,,,
3,星星,star*,,,ʔdaːu⁴² ʔdei⁴⁴,ʔdaːu⁴² ʔdi⁴⁴,ดาว,dao,True,,,,,,,,,,
4,天，天空,sky*,,,ʔbʊn⁴²,ʔbʊn⁴²,ท้องฟ้า,thongfa,True,,,,,,,,,,
5,云朵,cloud*,,,hu⁴⁵³,hu⁵⁵³,เมฆ,mek,True,,,,,,,,,,
6,风,wind*,,,ɹʊm²³¹,ɹʊm²³¹,ลม,lom,True,,,,,,,,,,
7,雨,rain*,,,wʊn⁴²,hʊn⁴²,ฝน,fon,True,,,,,,,,,,
8,雾,fog*,,,mɔɜk⁴⁴,mɔ²² lɔ⁴⁴,หมอก,mok,True,,,,,,,,,,
9,雪,snow*,,,nɜi⁴²,nɜi⁴²,หิมะ,ima,True,,,,,,,,,,
10,土壤,soil*,,,naːm³¹,naːm²⁴,ดิน,din,True,,,,,,,,,,
11,石头,stone*,,,hɪn⁴²,ɹɪn⁴²,หิน,in,True,,,,,,,,,,
12,沙,sand (fine)*,,,θa⁴²,θa⁴²,ทราย,thrai,True,,,,,,,,,,
13,尘土,dust*,,,fɔɜk⁴⁴,fɔn³⁴⁴,ฝุ่น,fun,True,,,,,,,,,,
14,火,fire*,,,fei²³¹,fi²³¹,ไฟ,fai,True,,,,,,,,,,
15,灰,ash*,,,tɐu³¹,tɐu²⁴,เถ้า,thao,True,,,,,,,,,,
16,烟,smoke*,,,hɔn²³¹,hɔn²³¹,ควัน,khwan,True,,,,,,,,,,
17,水,water*,,,ɹɐm²⁴,ɹɐm³⁴⁴,น้ำ,nam,True,,,,,,,,,,
18,河,river*,,,ta³¹,ta²⁴,แม่น้ำ,maenam,True,,,,,,,,,,
19,湖,lake*,,,hu²³¹,laːŋ⁴⁴,ทะเลสาบ,thalesap,True,,,,,,,,,,
20,海,sea*,,,haːi⁴⁵³,haːi⁵⁵³,ทะเล,thale,True,,,,,,,,,,
21,土山,mountain (earth),,,ʔdoːi⁴²,ʔdoːi⁴²,เนินเขา,noenkhao,True,,,,,,,,,,
22,石山,mountain (stone)*,,,pja⁴²,pja⁴²,ภูเขาหิน,phukhaoin,True,,,,,,,,,,
23,草,grass*,,,ɹʊm⁴²,ɹʊm⁴²,หญ้า,ya,True,,True,,,,,,,,
24,树,tree*,,,fɜi²⁴,fɜi³⁴⁴,ต้นไม้,tanamai,True,,True,,,,,,,,
25,树林,"forest, woods*",,,ʔdɔŋ⁴²,ʔdɔŋ⁴²,ป่า,pa,True,,True,,,,,,,,
26,树皮,bark*,,,cjɐm⁴⁴,cjaːm⁴⁴,เปลือกไม้,peluekmai,True,,True,,,,,,,,
27,叶子（小）,leaf*,,,ʔbəɯ⁴²,ʔbəɯ⁴²,ใบไม้,baimai,True,,True,,,,,,,,
28,根,root*,,,ɹaːk²¹,ɹaːk²⁴,ราก,rak,True,,True,,,,,,,,
29,花,flower*,,,wa⁴²,wa:⁴²,ดอกไม้,dokmai,True,,True,,,,,,,,
30,种子,seed*,,,ɕɛ³¹,cjɛ²⁴,เมล็ด,melt,True,,True,,,,,,,,
31,水果,fruit*,,,maːk⁴⁴,maːk⁵⁵,ผลไม้,phlamai,True,,True,,,,,,,,
32,绳子,string*,,,ɕaːk²¹,ɕaːk²⁴,เชือก,chueak,True,,,,,,,,,,
33,棍子,stick*,,,mɔk³⁴ cjɜn³¹,fɜi³⁴⁴ cjaŋ²⁴,ไม้เท้า,maithao,True,,,,,,,,,,
34,村子,village,,,ʔbaːn⁴⁵³,ʔbaːn⁵⁵³,หมู่บ้าน,muban,,,,,,,,,,,
35,路,road*,,,lɔ³¹,lɔ²⁴,ถนน,thanon,True,,,,,,,,,,
36,稻田,field,,,na²³¹,na²³¹,นา,na,,,,,,,,,,,
37,白天,daytime*,,,cjɐŋ⁴² ŋɔn²³¹,cjaŋ⁴² ŋɔn²³¹,กลางวัน,klangwan,,,,,,,,,,,
38,夜,night*,,,hɐm³¹,hɐm²⁴,กลางคืน,klangkhuen,True,,,,,,,,,,
39,年,year*,,,pei⁴²,pi⁴²,ปี,pi,True,,,,,,,,,,
40,水牛,water buffalo*,,,waːi²³¹,waːi²³¹,ควาย,khwai,,True,,,,,,,,,
41,鸡,chicken*,,,kɜi⁴⁴,kɜi⁴⁴,ไก่,kai,,True,,,,,,,,,
42,鸟,bird*,,,ɹɔk³⁴,ɹɔk²³,นก,nok,True,True,,,,,,,,,
43,鱼,fish*,,,pja⁴²,pja⁴²,ปลา,pla,True,True,,,,,,,,,
44,狗,dog*,,,ma⁴²,ma⁴²,หมา,ma,True,True,,,,,,,,,
45,虱子（身上）,louse,,,nɐn²³¹,nɐn²³¹,เหา,hao,True,True,,,,,,,,,
46,蛇,snake*,,,taːŋ³¹,ŋɯ²³¹,งู,ngu,True,True,,,,,,,,,
47,头,head*,,,cjɐu⁴²,cjɐu⁵⁵³,หัว,hua,True,,,,,,,,,,True
48,毛,hair*,,,pʊn⁴²,pʊn⁴²,ขน,khon,True,,,,,,,,,,True
49,角,horn*,,,kɐu⁴²,kɐu⁴²,เขา,khao,True,,,,,,,,,,True
50,尾巴,tail*,,,ɹɯəŋ⁴²,ɹɯəŋ⁵⁵³,หาง,ang,True,,,,,,,,,,True
51,皮肤,skin*,,,nɐŋ⁴²,naŋ⁴²,ผิวหนัง,phionang,True,,,,,,,,,,True
52,骨头,bone*,,,ʔdɔːk⁴⁴,ʔdɔɜk⁵⁵,กระดูก,kraduk,True,,,,,,,,,,True
53,血,blood*,,,lɯət²¹,lɯət²⁴,เลือด,lueat,True,,,,,,,,,,True
54,眼睛,eye*,,,lɯk³⁴ ta⁴²,lɯk²³ ta⁴²,ตา,ta,True,,,,,,,,,,True
55,耳朵,ear*,,,ɹɯ²³¹,ɹɯ²³¹,หู,hu,True,,,,,,,,,,True
56,鼻子,nose*,,,ʔdɐŋ⁴²,ʔdaŋ⁴²,จมูก,chamuk,True,,,,,,,,,,True
57,嘴巴,mouth*,,,paːk⁴⁴,paːk⁵⁵,ปาก,pak,True,,,,,,,,,,True
58,牙齿,tooth*,,,hɛːu⁴⁵³,hɛːu⁵⁵³,ฟัน,fan,True,,,,,,,,,,True
59,舌头,tongue*,,,lən²⁴,lɪn³⁴⁴,ลิ้น,lin,True,,,,,,,,,,True
60,脖子,neck*,,,hɔ²³¹,ɣɔ²³¹,คอ,kho,True,,,,,,,,,,True
61,肩膀,shoulder,,,ʔba⁴⁴,ʔba⁴⁴,ไหล่,lai,,,,,,,,,,,True
62,手,hand*,,,fɯŋ²³¹,fɯŋ²³¹,มือ,mue,True,,,,,,,,,,True
63,指甲,fingernail*,,,ɹɪp⁵⁵ fɯŋ²³¹,ɹɪp²³,เล็บ,lep,True,,,,,,,,,,True
64,翅膀,wing*,,,fɯət²¹,fɯət²⁴,ปีก,pik,True,,,,,,,,,,True
65,背,back*,,,pɜi³¹ lɐŋ⁴²,pɜi²⁴ laŋ⁴²,หลัง,lang,True,,,,,,,,,,True
66,胸脯,chest*,,,ʔɐk⁵⁵,ʔak⁵⁵,หน้าอก,nak,,,,,,,,,,,True
67,乳房,breast*,,,ɕi⁴⁵³,nɔŋ⁴⁴,เต้านม,taonm,True,,,,,,,,,,True
68,心脏,heart*,,,θɪm⁴² tɐu²³¹,θɪm⁴² tɐu²³¹,หัวใจ,uachai,True,,,,,,,,,,True
69,肝,liver*,,,tɐp⁵⁵,tɐp⁵⁵,ตับ,tap,True,,,,,,,,,,True
70,肚子,stomach*,,,toŋ²⁴,toŋ³⁴⁴,ท้อง,thong,True,,,,,,,,,,True
71,腿,leg*,,,ka⁴²,ka⁴²,ขา,kha,True,,,,,,,,,,True
72,膝盖,knee*,,,cjɐu⁴⁵³ hɔ⁴⁴,cjɐu⁵⁵³ hɔ⁴⁴,เข่า,khao,True,,,,,,,,,,True
73,脚,foot*,,,tɪn⁴²,tɪn⁴²,เท้า,thao,True,,,,,,,,,,True
74,大米,rice,,,hɐu²⁴,hɐu³⁴⁴,ข้าว,khao,,,True,,,,,,,,
75,秧苗,rice seedling,,,cja⁴⁵³,cja⁵⁵³,ต้นกล้า,tanakla,,,True,,,,,,,,
76,菜（蔬菜）,vegetable,,,pɐk⁵⁵,pjak⁵⁵,ผัก,phak,,,True,,,,,,,,
77,肉,meat*,,,nɔ³¹,nɔ²⁴,เนื้อ,nuea,True,,,,,,,,,,
78,油（花生油）,fat*,,,jou²³¹,ju²³¹,น้ำมัน,namman,True,,,,,,,,,,
79,蛋,egg*,,,cjɜi⁴⁴,cjei⁴⁴,ไข่,khai,True,,,,,,,,,,
80,盐,salt*,,,cju⁴²,cju⁴²,เกลือ,kelue,True,,,,,,,,,,
81,人,person*,,,wʊn²³¹,wʊn²³¹,คน,khon,True,,,,,,,,,,
82,男人,man*,,,pou³¹ θaːi⁴²,pu²⁴ θaːi⁴²,ผู้ชาย,phuchai,True,,,,,,,,,,
83,女人,woman*,,,mɛ³¹ ʔbʊk⁵⁵,mɛ²² ʔbʊk⁵⁵,ผู้หญิง,phuying,True,,,,,,,,,,
84,父亲,father*,,,ʔei⁴² pɔ³¹,pɔ²⁴,พ่อ,pho,True,,,,True,,,,,,
85,母亲,mother*,,,pa²² ma⁴⁴,mɛ²⁴,แม่,mae,True,,,,True,,,,,,
86,孩子,child*,,,lɯk³⁴,lɯk²³ ŋɛ²³¹,เด็ก,dek,True,,,,,,,,,,
87,丈夫,husband*,,,kwaːn⁴²,kwaːn⁴²,สามี,sami,True,,,,True,,,,,,
88,妻子,wife*,,,pa²³¹,pa²³¹,ภรรยา,phaya,True,,,,True,,,,,,
89,我,"I, me*",,,kou⁴²,ku⁴²,ฉัน,chan,True,,,True,,,,,,,
90,你,you*,,,mɯŋ²³¹,mɯŋ²³¹,คุณ,khun,True,,,True,,,,,,,
91,他/她,he/she*,,,tɛ⁴²,tɛ⁴²,เขา,khao,True,,,True,,,,,,,
92,我们（不包括听话人）,we (excl.)*,,,tou⁴²,tu⁴²,พวกเรา(ไม่รวมคุณ),phuakrao(mairuamkhun),,,,True,,,,,,,
93,你们,you (pl.)*,,,θou⁴²,θu⁴²,พวกคุณ,phuakkhun,True,,,True,,,,,,,
94,他们/她们,they*,,,pɔŋ⁴² tɛ⁴²,cjɔŋ⁴⁴ tɛ⁴²,พวกเขา,phuakkhao,True,,,True,,,,,,,
95,这里,here*,,,ki²² nei²⁴,ki²² ni³⁴⁴,ที่นี่,thini,True,,,,,,,,,,
96,那里,there*,,,ki²² tɛ⁴²,ki²³ tɛ⁴²,ที่นั่น,thinan,True,,,,,,,,,,
97,这（个）,this*,,,ʔɐn⁴² nei²⁴,ʔdɜn⁴² ni³⁴⁴,นี้,ni,True,,,,,,,,,,
98,那（个）,that*,,,ʔɜn⁴² tɛ⁴²,ʔdɜn⁴² tɛ⁴²,นั้น,nan,True,,,,,,,,,,
99,一,one*,,,ʔdɛːu⁴²,ʔdɛːu⁴²,หนึ่ง,nueng,True,,,,,,,True,,,
100,二,two*,,,θɔəŋ⁴²,θɔɜŋ⁴²,สอง,song,True,,,,,,,True,,,
101,三,three*,,,θaːm⁴²,θaːm⁴²,สาม,sam,True,,,,,,,True,,,
102,四,four*,,,θei⁴⁴,θi⁴⁴,สี่,si,True,,,,,,,True,,,
103,五,five*,,,ha⁴⁵³,ha⁵⁵³,ห้า,ha,True,,,,,,,True,,,
104,许多,many*,,,laːi⁴²,laːi⁴²,มาก,mak,True,,,,,,True,,,,
105,少,few*,,,θiːu⁴⁵³,θiːu⁵⁵³,น้อย,noi,True,,,,,,True,,,,
106,全部,all*,,,tu⁴⁴,tu⁴²,ทั้งหมด,thangmt,True,,,,,,True,,,,
107,一些,some*,,,ti⁴⁴ ʔdɛːu⁴²,ti⁴⁴,บาง,bang,True,,,,,,,,,,
108,大,"big, large*",,,laːu²⁴,laːu³⁴⁴,ใหญ่,ain,True,,,,,,True,,,,
109,小,small*,,,ʔei⁴⁴,ȵi⁴⁴,เล็ก,lek,True,,,,,,True,,,,
110,长,long*,,,ɹɜi²³¹,ɹɜi²³¹,ยาว,yao,True,,,,,,True,,,,
111,短,short*,,,kɐn⁴⁴,tɪn⁵⁵³,สั้น,san,True,,,,,,True,,,,
112,宽,wide*,,,kwaːŋ⁴⁴,kwaːŋ⁴⁴,กว้าง,kwang,True,,,,,,True,,,,
113,窄,narrow*,,,kɐp³⁴,kɐp²³,แคบ,khaep,True,,,,,,True,,,,
114,厚,thick*,,,na⁴²,na⁴²,หนา,na,True,,,,,,True,,,,
115,薄,thin*,,,ʔbaːŋ⁴²,ʔbaːŋ⁴²,บาง,bang,True,,,,,,True,,,,
116,重,heavy*,,,nɐk⁵⁵,nak⁵⁵,หนัก,nak,True,,,,,,True,,,,
117,轻,light,,,ʔbɐu⁴²,ʔbɐu⁴²,เบา,bao,,,,,,,True,,,,
118,红,red*,,,hɔŋ²³¹,hɔŋ²³¹,แดง,daeng,True,,,,,,True,,,,
119,绿,green*,,,lɔk³⁴,lɔk²³,เขียว,khiao,True,,,,,,True,,,,
120,黄,yellow*,,,hɛːn⁴⁵³,hɛːn⁵⁵³,เหลือง,elueng,True,,,,,,True,,,,
121,白,white*,,,haːu⁴²,haːu⁴²,ขาว,khao,True,,,,,,True,,,,
122,黑,black*,,,nɐm⁴²,ʔdɔɜŋ⁴⁴,ดำ,dam,True,,,,,,True,,,,
123,热（天气）,hot (weather)*,,,ʔdaːt⁴⁴,ʔdaːt⁵⁵,ร้อน,ron,,,,,,,True,,,,
124,冷（天气）,cold (weather)*,,,nɪt⁵⁵,nɪt⁵⁵,หนาว,nao,True,,,,,,True,,,,
125,新,new*,,,mɔ⁴⁴,mɔ⁴⁴,ใหม่,aim,True,,,,,,True,,,,
126,旧,old (object)*,,,kɐu⁴⁴,kɐu⁴⁴,เก่า,kao,True,,,,,,True,,,,
127,好,good*,,,ʔdei⁴²,ʔdi⁴²,ดี,di,True,,,,,,True,,,,
128,坏,"bad, ruined*",,,waːi³¹,ȵaːu⁴⁴,เสีย,sia,True,,,,,,True,,,,
129,腐烂（果子）,rotten (fruit)*,,,nɐu³¹,joŋ⁵⁵³,เน่า,nao,True,,,,,,True,,,,
130,脏（衣服）,dirty*,,,cjuɔk⁴⁴,cjuɔk⁵⁵,สกปรก,sakaprok,True,,,,,,True,,,,
131,直,straight*,,,θɔ³¹,θɔ²⁴,ตรง,trong,True,,,,,,True,,,,
132,圆,round*,,,ʔduən⁴²,ʔduən⁴²,กลม,klom,True,,,,,,True,,,,
133,满,full*,,,ɹɪm⁴²,jɪm⁴²,เต็ม,tem,True,,,,,,True,,,,
134,锋利,sharp*,,,ɹɜi³¹,ɹɜi²⁴,คม,khom,True,,,,,,True,,,,
135,钝,blunt*,,,mɐt⁵⁵,mot⁵⁵,ทื่อ,thue,True,,,,,,True,,,,
136,滑,"slippery, smooth*",,,ʔwɪn⁴⁵³,ʔɯən⁵⁵³,ลื่น,luen,True,,,,,,True,,,,
137,湿,wet*,,,ʔbɜi⁴⁴,tʊm²³¹,เปียก,piak,True,,,,,,True,,,,
138,干（衣服）,dry*,,,ɹɔ⁴²,ɹɔ⁴²,แห้ง,aeng,True,,,,,,True,,,,
